"node","layer","lat","lon","zone","atcocode"
239988,5,51.34892,-2.31007,460,"4600WIA11387"
239989,5,51.34786,-2.30523,460,"4600WIA11388"
239990,5,51.34776,-2.30524,460,"4600WIA11389"
239991,5,50.98136,-1.35580,190,"1900HA030152"
239992,5,50.98146,-1.35688,190,"1900HA030153"
239993,5,50.98272,-1.35370,190,"1900HA030150"
239994,5,50.98189,-1.35407,190,"1900HA030151"
239995,5,51.31051,-0.14446,490,"  490007887S"
239996,5,50.98174,-1.35013,190,"1900HA030158"
239997,5,53.29235,-3.72695,513,"5130CWX02015"
239998,5,53.35810,-2.16438,180," 1800SGH1711"
239999,5,53.56229,-2.02491,180," 1800ED12241"
240000,5,53.47997,-2.96604,280," 2800S53030A"
240001,5,52.41070,-1.51437,430," 43000004105"
240002,5,52.53796,-2.11943,430," 43000858601"
240003,5,53.48019,-2.96657,280," 2800S53030B"
240004,5,51.69063,-1.67773,160,"  1600GL4364"
240005,5,53.26014,-3.97087,513,"5130CWX02013"
240006,5,57.36135,-2.07462,630,"   630031372"
240007,5,54.78192,-1.52334,130,"   13005226D"
240008,5,53.59656,-2.42930,180," 1800WAH0841"
240009,5,52.05571,-4.63435,521,"5210WDB21530"
240010,5,50.95033,-3.12584,360,"3600SOB20290"
240011,5,50.95688,-3.12456,360,"3600SOB20291"
240012,5,50.95691,-3.12432,360,"3600SOB20292"
240013,5,51.68808,-4.94095,521,"5210WDB21533"
240014,5,50.95851,-3.12460,360,"3600SOB20294"
240015,5,50.95850,-3.12433,360,"3600SOB20295"
240016,5,50.83748,-0.16641,149,"149000007135"
240017,5,50.83583,-0.16099,149,"149000007134"
240018,5,50.83893,-0.17351,149,"149000007137"
240019,5,50.83840,-0.16930,149,"149000007136"
240020,5,50.83368,-0.15106,149,"149000007131"
240021,5,52.83659,-1.62163,380," 3800C334101"
240022,5,52.83665,-1.62175,380," 3800C334102"
240023,5,50.83438,-0.15479,149,"149000007132"
240024,5,50.83895,-0.17888,149,"149000007138"
240025,5,52.58901,-2.02205,430," 43007870003"
240026,5,54.61304,-1.29693, 77,"  077072582A"
240027,5,52.39133,-2.02501,430," 43000392001"
240028,5,52.39074,-2.02636,430," 43000392002"
240029,5,53.43891,-0.30987,270,"270002700195"
240030,5,53.47793,-0.38634,270,"270002700190"
240031,5,53.37898,-0.25394,270,"270002700198"
240032,5,53.41974,-0.38577,270,"270002700199"
240033,5,55.94233,-3.05254,627,"627001010300"
240034,5,51.90950,-1.13599,340,"340001571DCR"
240035,5,51.29772, 1.08585,240,"2400A040290A"
240036,5,52.03951,-0.73755, 49,"049004365505"
240037,5,54.78192,-1.52345,130,"   13005226H"
240038,5,52.95516,-1.47846,109,"109000008799"
240039,5,52.60960,-2.04727,430," 43000783101"
240040,5,55.65155,-4.79905,617,"     6170715"
240041,5,53.54036,-2.65278,180," 1800WK04121"
240042,5,52.50436,-1.74318,430," 43000183202"
240043,5,52.50452,-1.74355,430," 43000183201"
240044,5,52.50700,-2.96638,350," 3500B089400"
240045,5,52.50683,-2.96647,350," 3500B089401"
240046,5,52.19686,-1.59328,420," 4200F076213"
240047,5,53.59110,-2.26827,180," 1800NE34941"
240048,5,55.89991,-3.16442,620,"  6200205500"
240049,5,50.39078,-3.89986,110,"1100DEA10449"
240050,5,50.39039,-3.90097,110,"1100DEA10448"
240051,5,50.39754,-3.87768,110,"1100DEA10445"
240052,5,50.39716,-3.87711,110,"1100DEA10444"
240053,5,50.39078,-3.89503,110,"1100DEA10447"
240054,5,50.39060,-3.89549,110,"1100DEA10446"
240055,5,50.40341,-3.85841,110,"1100DEA10441"
240056,5,50.40313,-3.85865,110,"1100DEA10440"
240057,5,50.39853,-3.87003,110,"1100DEA10443"
240058,5,50.39831,-3.87009,110,"1100DEA10442"
240059,5,53.97359,-1.20418,329,"3290YYA00878"
240060,5,53.97349,-1.20415,329,"3290YYA00879"
240061,5,53.37647,-3.09678,280," 2800S25001C"
240062,5,53.95235,-1.13604,329,"3290YYA00875"
240063,5,53.95577,-1.13212,329,"3290YYA00876"
240064,5,53.96917,-1.13208,329,"3290YYA00877"
240065,5,53.95133,-1.11994,329,"3290YYA00870"
240066,5,53.95085,-1.12231,329,"3290YYA00871"
240067,5,53.94973,-1.12795,329,"3290YYA00872"
240068,5,53.95040,-1.12260,329,"3290YYA00873"
240069,5,53.37591,-3.09741,280," 2800S25001A"
240070,5,53.73271,-2.50269,258," 2580MHL0024"
240071,5,52.52270,-1.49637,420," 4200F186601"
240072,5,57.65774,-2.69993,630,"   630066961"
240073,5,53.41810,-1.43951,370,"   370021987"
240074,5,53.41786,-1.43914,370,"   370021988"
240075,5,51.56065,-0.11543,490,"  490008367S"
240076,5,51.32961,-2.05110,460,"4600WIA10423"
240077,5,55.98822,-3.41516,620,"  6200246630"
240078,5,52.29746,-1.53150,420," 4200F153402"
240079,5,51.42430, 0.34540,240,"2400A016850A"
240080,5,52.78849,-2.10530,380," 3800C754601"
240081,5,52.58454,-1.96858,430," 43000661202"
240082,5,52.58467,-1.96847,430," 43000661201"
240083,5,52.78858,-2.10542,380," 3800C754602"
240084,5,50.95027, 0.37127,140," 1400RR10036"
240085,5,51.95587,-3.47962,561,"5610PWX18850"
240086,5,50.84197, 0.49118,140," 1400RR10032"
240087,5,50.84625, 0.50284,140," 1400RR10030"
240088,5,50.84120, 0.48660,140," 1400RR10031"
240089,5,53.47235,-2.86995,280," 2800S52058D"
240090,5,53.47252,-2.87110,280," 2800S52058B"
240091,5,51.27849, 1.05756,240,"2400A050570A"
240092,5,51.77381,-2.48620,160,"1600GLA36729"
240093,5,51.78573,-2.48753,160,"1600GLA36728"
240094,5,51.78570,-2.48740,160,"1600GLA36727"
240095,5,51.90082,-2.07600,160,"1600GLA36726"
240096,5,51.86758,-2.25299,160,"1600GLA36723"
240097,5,51.78864,-2.48831,160,"1600GLA36722"
240098,5,52.97892,-2.12700,389," 3890D017401"
240099,5,57.14655,-2.11820,639,"   639006261"
240100,5,52.42821,-1.44068,430," 43000035802"
240101,5,52.42739,-1.44122,430," 43000035801"
240102,5,52.13350,-0.70380, 49,"049002199541"
240103,5,53.31960,-3.09754,280," 2800S29012A"
240104,5,51.51838,-0.19905,490,"  490007420M"
240105,5,54.54605,-1.51568, 76,"    07605226"
240106,5,54.54292,-1.51474, 76,"    07605227"
240107,5,54.54815,-1.51457, 76,"    07605224"
240108,5,54.54925,-1.51488, 76,"    07605222"
240109,5,54.54809,-1.51474, 76,"    07605223"
240110,5,54.54894,-1.51968, 76,"    07605220"
240111,4,54.85551,-1.57369,130,"   13002206E"
240111,5,54.85551,-1.57369,130,"   13002206E"
240112,4,54.85600,-1.57395,130,"   13002206A"
240112,5,54.85600,-1.57395,130,"   13002206A"
240113,5,54.54306,-1.51969, 76,"    07605229"
240114,5,52.19438,-1.73978,420," 4200F129971"
240115,5,52.08191,-0.43441, 20,"   020034022"
240116,5,52.19431,-1.74001,420," 4200F129972"
240117,5,57.18268,-2.13353,639,"   639007102"
240118,5,57.18272,-2.13328,639,"   639007101"
240119,5,53.40792,-1.45000,370,"   370027112"
240120,5,53.49357,-2.25959,180," 1800NF40161"
240121,5,53.65313,-2.61790,250," 2500IMG2950"
240122,5,54.89127,-1.44539,410,"410000024258"
240123,5,52.99180,-2.10758,389," 3890D119001"
240124,5,53.42691,-2.26721,180," 1800SB16561"
240125,5,50.34300,-5.15806, 80,"0800FWW38511"
240126,5,55.76171,-2.10937,690,"    69001358"
240127,5,54.89469,-1.43007,410,"410000024252"
240128,5,52.51476,-1.98722,430," 43000953401"
240129,5,53.00605,-1.21777,339,"   3390SWWHR"
240130,5,52.51401,-1.98635,430," 43000953402"
240131,5,52.04602,-1.96496,200," 2000G072700"
240132,5,52.60984,-0.44529, 59,"  0590PWI706"
240133,5,52.06101,-1.95694,200," 2000G072702"
240134,5,52.60521,-0.43961, 59,"  0590PWI704"
240135,5,52.60644,-0.43846, 59,"  0590PWI703"
240136,5,52.60844,-0.43782, 59,"  0590PWI702"
240137,5,52.61003,-0.44103, 59,"  0590PWI701"
240138,5,55.96133,-3.15399,620,"  6200207718"
240139,5,57.51394,-4.28896,670,"   670061012"
240140,5,52.19452,-2.21807,200," 2000G005878"
240141,5,52.19445,-2.21767,200," 2000G005879"
240142,5,55.00166,-1.42474,410,"410000042210"
240143,5,57.56819,-4.18175,670,"   670061017"
240144,5,57.56744,-4.17262,670,"   670061018"
240145,5,53.49295,-2.64926,180," 1800WKH4541"
240146,5,57.56726,-4.17266,670,"   670061019"
240147,5,52.54354,-2.12211,430," 43000852401"
240148,5,52.54378,-2.12248,430," 43000852402"
240149,5,53.50751,-2.09094,180," 1800EH20681"
240150,5,53.32523,-3.12028,280," 2800S29019B"
240151,5,53.32527,-3.11985,280," 2800S29019A"
240152,5,53.41198,-2.98864,280," 2800S42030B"
240153,5,53.41146,-2.98804,280," 2800S42030A"
240154,5,52.17878, 1.61410,390,"   390060191"
240155,5,52.17866, 1.61415,390,"   390060190"
240156,5,52.93219,-0.66227,270,"2700LGHK5760"
240157,5,52.60204, 0.37869,290,"   2900D1717"
240158,5,52.59930, 0.36960,290,"   2900D1715"
240159,5,53.49526,-2.09662,180," 1800EH21791"
240160,5,51.36864, 1.10340,240,"2400A041710A"
240161,5,53.59689,-2.76794,250,"    25001537"
240162,5,53.56791,-2.89405,250,"    25001530"
240163,5,50.81955, 0.27358,140,"  1400EB0374"
240164,5,53.57823,-2.88806,250,"    25001533"
240165,5,53.51038,-2.36061,180," 1800WF39801"
240166,5,53.97946,-1.11293,329,"3290YYA00002"
240167,5,53.77105,-2.69073,250,"   250013914"
240168,5,50.34600,-3.99687,110,"1100DEA10020"
240169,5,50.73103,-4.57679, 80,"0800COA10046"
240170,5,53.00888,-2.20567,389," 3890D032901"
240171,5,52.17338,-0.93130,300," 300000032CO"
240172,5,53.00903,-2.20474,389," 3890D032902"
240173,5,51.54467,-0.47304,490,"  490010794N"
240174,5,52.82720,-2.85514,350," 3500B149600"
240175,5,54.86545,-1.73754,130,"   13001450B"
240176,5,54.86536,-1.73755,130,"   13001450F"
240177,5,55.41602,-1.70903,310," 3100U185136"
240178,5,55.41578,-1.70781,310," 3100U185135"
240179,5,53.73793,-2.63616,250,"    2500JB51"
240180,5,54.73866,-1.52166,130,"   13005420F"
240181,5,51.73758,-1.19823,340,"340001367TRC"
240182,5,55.12962,-3.35214,680,"680000386222"
240183,5,53.73810,-2.63733,250,"    2500JB52"
240184,5,52.42849,-1.48921,430," 43000023301"
240185,5,57.17974,-2.13367,639,"   639004031"
240186,5,53.45231,-2.27316,180," 1800SJ30151"
